,Barrios,city_coord,latitud,longitud
82,Virgen del Cortijo - Manoteras,"Virgen del Cortijo, Avenida de Manoteras, Sanchinarro, Valdefuentes, Hortaleza, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4872436,-3.661223
83,Valdebebas - Valdefuentes,"Valdebebas, Valdefuentes, Hortaleza, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4859876,-3.6138643
84,Pinar del Rey,"Pinar del Rey, Hortaleza, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4724696,-3.6489613
85,Canillas,"Canillas, Hortaleza, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4618893,-3.6433517
86,Apóstol Santiago,"Apóstol Santiago, Hortaleza, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4764884,-3.6594029
87,Chamberí,"Chamberí, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.43624735,-3.7038303534513837
88,Almagro,"Almagro, Chamberí, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.43172695,-3.69304366694354
89,Trafalgar,"Trafalgar, Chamberí, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4332491,-3.701245895798365
90,Nuevos Ministerios-Ríos Rosas,"Nuevos Ministerios, Paseo de la Castellana, Ríos Rosas, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28000, España",40.4453197,-3.692254
91,Vallehermoso,"Vallehermoso, Chamberí, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4430572,-3.7116809920844496
92,Gaztambide,"Gaztambide, Chamberí, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.43467955,-3.7149027097918568
93,Arapiles,"Arapiles, Chamberí, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.43418655,-3.707922533247423
94,Ventas,"Ventas, Calle de Alcalá, Guindalera, Salamanca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.430831,-3.6632802
